ICL	0.24610883473584094
Online-W	0.6157876445527026
metricsystem2	0.5554972406543658
metricsystem4	0.5634515462424643
nuclear_trans	0.4452522249702744
UEdin	0.5740190736034851
eTranslation	0.5676017299242422
Online-G	0.4971619933460674
UF	0.5732174082891551
metricsystem1	0.5805943624828449
BUPT_rush	0.4277295792389832
Facebook-AI	0.6302915668419884
Manifold	0.5572140785584787
Online-A	0.5734872240498811
P3AI	0.5597546708745931
VolcTrans-AT	0.5796454993230914
VolcTrans-GLAT	0.6164835528684353
WeChat-AI	0.6099020330432409
happypoet	0.5111197128858485
metricsystem5	0.5580669156073067
Online-B	0.5682665610726841
HuaweiTSC	0.5764747216754748
Online-Y	0.5216791827841374
Nemo	0.5920424303913604
metricsystem3	0.5427571161019945
ref-A	0.5537760779094285
ref-B	0.7182970782890619
ref-D	0.5897272019042911
