ICL	0.31474887313666994
Online-W	0.7074292110810856
metricsystem2	0.6132374596549662
metricsystem4	0.6236337630334728
nuclear_trans	0.511063304800399
UEdin	0.6406849555489039
eTranslation	0.6339538422712457
Online-G	0.5648905984525701
UF	0.6353962961268312
metricsystem1	0.6414016470733189
BUPT_rush	0.4951280417987806
Facebook-AI	0.6873179171178602
Manifold	0.6263645190314321
Online-A	0.6419464599530764
P3AI	0.6234122074976891
VolcTrans-AT	0.6500033939075089
VolcTrans-GLAT	0.7526446498201754
WeChat-AI	0.6747817264724812
happypoet	0.5811670235118377
metricsystem5	0.6303176909737185
Online-B	0.6297628360069887
HuaweiTSC	0.6469054195394148
Online-Y	0.5896903533161341
Nemo	0.6568873423038277
metricsystem3	0.5967578337380957
ref-A	0.5664161908256258
ref-C	0.7147549559286017
ref-D	0.610267076520491
